gene_id,gene_name,gene_biotype,count
AT1G04945,null,protein_coding,5
AT1G04947,null,lncRNA,0
AT1G04950,TAF6,protein_coding,6
AT1G04953,null,lncRNA,0
AT1G04957,null,lncRNA,0
AT1G04960,null,protein_coding,7
AT1G04963,null,lncRNA,0
AT1G04967,null,lncRNA,0
AT1G04970,null,protein_coding,4
AT1G04973,null,lncRNA,0
AT1G04977,null,lncRNA,0
AT1G04980,PDIL2-2,protein_coding,8
AT1G04983,null,lncRNA,0
AT1G04985,null,protein_coding,4
AT1G04987,null,lncRNA,0
AT1G04990,null,protein_coding,0
AT1G04993,null,miRNA,8
AT1G04997,null,lncRNA,0
AT1G05000,null,protein_coding,6
AT1G05003,null,lncRNA,0
AT1G05005,null,protein_coding,0
AT1G05007,null,lncRNA,0
AT1G05010,ACO4,protein_coding,126
AT1G05013,null,lncRNA,0
AT1G05017,null,lncRNA,0
AT1G05020,AP180,protein_coding,1
AT1G05023,null,lncRNA,0
AT1G05027,null,lncRNA,0
AT1G05030,null,protein_coding,65
AT1G05033,null,lncRNA,0
AT1G05035,null,protein_coding,50
AT1G05037,null,lncRNA,0
AT1G05040,null,protein_coding,0
AT1G05043,null,lncRNA,0
AT1G05047,null,lncRNA,0
AT1G05053,null,lncRNA,0
AT1G05055,GTF2H2,protein_coding,1
AT1G05057,null,snRNA,294
AT1G05060,null,protein_coding,0
AT1G05065,CLE20,protein_coding,0
AT1G05067,null,lncRNA,0
AT1G05070,null,protein_coding,3
AT1G05073,null,lncRNA,0
AT1G05077,null,lncRNA,0
AT1G05080,null,protein_coding,0
AT1G05083,null,lncRNA,0
AT1G05085,null,protein_coding,0
AT1G05087,null,protein_coding,0
AT1G05090,null,protein_coding,0
AT1G05093,null,lncRNA,0
AT1G05097,null,lncRNA,0
AT1G05100,MAPKKK18,protein_coding,0
AT1G05103,null,lncRNA,0
AT1G05107,null,lncRNA,0
AT1G05113,null,lncRNA,0
AT1G05117,null,lncRNA,0
AT1G05120,null,protein_coding,3
AT1G05123,null,lncRNA,0
AT1G05127,null,lncRNA,0
AT1G05133,null,lncRNA,0
AT1G05136,null,protein_coding,0
AT1G05137,null,snoRNA,0
AT1G05140,ARASP2,protein_coding,6
AT1G05143,null,lncRNA,0
AT1G05147,null,lncRNA,0
AT1G05150,null,protein_coding,6
AT1G05153,null,lncRNA,0
AT1G05160,KAO1,protein_coding,3
AT1G05163,null,lncRNA,0
AT1G05170,B3GALT2,protein_coding,0
AT1G05173,null,lncRNA,0
AT1G05177,null,lncRNA,0
AT1G05180,AXR1,protein_coding,3
AT1G05183,null,lncRNA,0
AT1G05187,null,lncRNA,0
AT1G05190,RPL6,protein_coding,16
AT1G05193,null,lncRNA,0
AT1G05197,null,lncRNA,0
AT1G05200,GLR3.4,protein_coding,16
AT1G05203,null,lncRNA,0
AT1G05205,null,protein_coding,2
AT1G05207,null,lncRNA,0
AT1G05210,null,protein_coding,0
AT1G05213,null,lncRNA,0
AT1G05217,null,lncRNA,0
AT1G05220,null,protein_coding,0
AT1G05223,null,lncRNA,0
AT1G05227,null,lncRNA,0
AT1G05230,HDG2,protein_coding,2
AT1G05233,null,lncRNA,0
AT1G05237,null,lncRNA,0
AT1G05240,PER2,protein_coding,39
AT1G05243,null,lncRNA,0
AT1G05247,null,snoRNA,0
AT1G05250,PER2,protein_coding,0
AT1G05253,null,lncRNA,0
AT1G05257,null,ncRNA,0
AT1G05260,PER3,protein_coding,4
AT1G05263,null,lncRNA,0
AT1G05267,null,lncRNA,0
AT1G05270,null,protein_coding,4
AT1G05273,null,snRNA,0
AT1G05277,null,lncRNA,0
AT1G05280,null,protein_coding,0
AT1G05283,null,lncRNA,0
AT1G05287,null,lncRNA,0
AT1G05290,null,protein_coding,0
AT1G05291,null,protein_coding,0
AT1G05293,null,lncRNA,0
AT1G05297,null,lncRNA,0
AT1G05300,ZIP5,protein_coding,1
AT1G05303,null,lncRNA,0
AT1G05307,null,lncRNA,0
AT1G05310,PME8,protein_coding,0
AT1G05313,null,lncRNA,28
AT1G05317,null,lncRNA,0
AT1G05320,null,protein_coding,8
AT1G05323,null,lncRNA,0
AT1G05327,null,lncRNA,0
AT1G05330,null,protein_coding,0
AT1G05333,null,lncRNA,0
AT1G05337,null,lncRNA,0
AT1G05340,null,protein_coding,0
AT1G05343,null,lncRNA,0
AT1G05347,null,lncRNA,0
AT1G05350,null,protein_coding,3
AT1G05353,null,ncRNA,0
AT1G05357,null,lncRNA,0
AT1G05360,KMS2,protein_coding,1
AT1G05363,null,lncRNA,0
AT1G05367,null,lncRNA,0
AT1G05370,null,protein_coding,1
AT1G05373,null,lncRNA,0
AT1G05377,null,lncRNA,0
AT1G05380,null,protein_coding,5
AT1G05383,null,lncRNA,0
AT1G05385,PSB27-2,protein_coding,3
AT1G05387,null,lncRNA,0
AT1G05390,null,tRNA,4
AT1G05397,null,lncRNA,0
AT1G05400,null,protein_coding,0
AT1G05407,null,lncRNA,0
AT1G05410,null,protein_coding,4
AT1G05413,null,lncRNA,0
AT1G05417,null,snoRNA,0
AT1G05420,ATOFP12,protein_coding,0
AT1G05423,null,snoRNA,0
AT1G05427,null,snoRNA,0
AT1G05430,null,protein_coding,2
AT1G05433,null,snoRNA,0
AT1G05440,null,protein_coding,0
AT1G05443,null,lncRNA,0
AT1G05447,null,lncRNA,0
AT1G05450,null,protein_coding,0
AT1G05453,null,lncRNA,0
